#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Sun Dec 10 11:27:33 2017

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       cat_pad_map.ncd
#OUTPUT FILE:      cat_pad_pad.csv
#PART TYPE:        xc3s1200e
#SPEED GRADE:      -4
#PACKAGE:          fg320
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
A1,,,GND,,,,,,,,,,,,
A2,,,TDI,,,,,,,,,,,,
A3,,IBUF,IP,UNUSED,,0,,,,,,,,,
A4,vga_red<2>,IOB,IO_L24P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
A5,,DIFFMI,IP_L22P_0,UNUSED,,0,,,,,,,,,
A6,vga_blue<1>,IOB,IO_L20N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
A7,vga_red<0>,IOB,IO,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
A8,disp1<2>,IOB,IO,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
A9,,,VCCO_0,,,0,,,,,2.50,,,,
A10,disp2<1>,IOB,IO_L12N_0/GCLK7,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
A11,leds<2>,IOB,IO,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
A12,leds<8>,IOB,IO,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
A13,leds<11>,IOB,IO_L05P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
A14,leds<15>,IOB,IO_L04N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
A15,,DIFFSI,IP_L02N_0,UNUSED,,0,,,,,,,,,
A16,data_ready,IBUF,IO_L01N_0,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,NO,NONE,
A17,,,TCK,,,,,,,,,,,,
A18,,,GND,,,,,,,,,,,,
B1,,,PROG_B,,,,,,,,,,,,
B2,,,GND,,,,,,,,,,,,
B3,,DIFFS,IO_L25N_0/HSWAP,UNUSED,,0,,,,,,,,,
B4,vga_green<0>,IOB,IO_L24N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
B5,,DIFFSI,IP_L22N_0,UNUSED,,0,,,,,,,,,
B6,vga_blue<2>,IOB,IO_L20P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
B7,,,VCCAUX,,,,,,,,2.5,,,,
B8,clk_11m,IBUF,IP_L13P_0/GCLK8,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,NO,NONE,
B9,clk,IBUF,IP_L13N_0/GCLK9,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,NO,NONE,
